url_id,business_function,page_title,source_url,final_url,normalized_decision,crawl_wave,status,status_code,content_chars,block_count,link_count,attachment_count,image_count,downloaded_attachment_count,downloaded_image_count,asset_failure_count,raw_html_path,response_meta_path,parsed_markdown_path,parsed_json_path,raw_sha256,parsed_content_sha256,error_type,error,finished_at,started_at,form_count,script_source_count,dynamic_diagnostic_path
DP-001,예금자보호제도,제도·정책 예금자보호제도 보호한도,https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do,https://www.kdic.or.kr/sp/dpstrprot/ProtSystProtLmts/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,1245,9.0,2.0,0,0,0.0,0.0,0,raw/html/예금자보호제도/DP-001.html,raw/response_meta/예금자보호제도/DP-001.json,parsed/markdown/예금자보호제도/DP-001.md,parsed/json/예금자보호제도/DP-001.json,395214e27d21c1b901f08096a16e9a0d7f2e19e9a31a23969da2b96d586b84e5,6c031400e7d6df8e847b25c36f98a1910518c5c5f48a309443316213e1e6dbd3,,,2026-07-13T16:09:58+09:00,2026-07-13T16:09:56+09:00,,,
DP-002,예금자보호제도,제도·정책 예금자보호제도 예금자보호제도,https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do,https://www.kdic.or.kr/sp/dpstrprot/ProtSyst/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,827,11.0,2.0,0,1,0.0,0.0,0,raw/html/예금자보호제도/DP-002.html,raw/response_meta/예금자보호제도/DP-002.json,parsed/markdown/예금자보호제도/DP-002.md,parsed/json/예금자보호제도/DP-002.json,16c3ce4f1008f9cf1a7aee4c45c25f82d6d916b5ea81b5804f92ca68cc69c81c,34336e36175661e08a26a5ad0e18580c618ae2227dc1c41356b4e9bcf2287a12,,,2026-07-13T16:10:00+09:00,2026-07-13T16:09:59+09:00,,,
DP-003,예금자보호제도,제도·정책 예금자보호제도 보호대상 금융회사 개요,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtSumr.do,include_full,W1_STATIC,parse_success,200.0,1101,14.0,2.0,0,0,0.0,0.0,0,raw/html/예금자보호제도/DP-003.html,raw/response_meta/예금자보호제도/DP-003.json,parsed/markdown/예금자보호제도/DP-003.md,parsed/json/예금자보호제도/DP-003.json,29605ebf79673e1b7efee11398a1a934f396ea169929b60e0432cb42e3bf91cd,0e36c4c0b8107f74ff27325eafaedce7c5b90200b37b1fbbb6b4821ebbac67d9,,,2026-07-13T16:10:03+09:00,2026-07-13T16:10:02+09:00,,,
DP-004,예금자보호제도,제도·정책 예금자보호제도 보호대상 금융상품 개요,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystProtTrgtPrdctSumr.do,include_full,W1_STATIC,parse_success,200.0,2391,11.0,2.0,0,0,0.0,0.0,0,raw/html/예금자보호제도/DP-004.html,raw/response_meta/예금자보호제도/DP-004.json,parsed/markdown/예금자보호제도/DP-004.md,parsed/json/예금자보호제도/DP-004.json,2e2e6651d625bef5abc7b7c0915ecf6558607ee0f19a048b4be275a2fff6afa1,326489bed152922ffa812e148550b6de12e987c3e0283f33a5ef861578a05ac4,,,2026-07-13T16:10:06+09:00,2026-07-13T16:10:04+09:00,,,
DP-005,예금자보호제도,퀵메뉴,https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do,https://fins.kdic.or.kr/cm/bbs/selectFaqNramtAply.do,include_full,W1_STATIC,parse_success,200.0,2814,12.0,1.0,0,0,0.0,0.0,0,raw/html/예금자보호제도/DP-005.html,raw/response_meta/예금자보호제도/DP-005.json,parsed/markdown/예금자보호제도/DP-005.md,parsed/json/예금자보호제도/DP-005.json,facecd8a17e9542799c3f810f22c9f797c6c86a44d589c4cf6b2260a74c7e423,82c9f9999a47802fb6caa61c25c605080a056432b39e264f87b0ef6e0eeb56f2,,,2026-07-13T16:10:08+09:00,2026-07-13T16:10:07+09:00,,,
DP-006,예금자보호제도,제도·정책 예금자보호제도 예금자보호제도 FAQ,https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do,https://www.kdic.or.kr/sp/dpstrprot/ProtSystFaq/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,4172,53.0,2.0,0,0,0.0,0.0,0,raw/html/예금자보호제도/DP-006.html,raw/response_meta/예금자보호제도/DP-006.json,parsed/markdown/예금자보호제도/DP-006.md,parsed/json/예금자보호제도/DP-006.json,b7b5844db45ccdf881823925d858f6741d3681765f58069ba8a94b546bc822fb,98126e08b58987fd899dcc96e2a7b33b936e5be415c98ef1ef34da536992953a,,,2026-07-13T16:10:11+09:00,2026-07-13T16:10:09+09:00,,,
BI-001,예금보험금 안내,제도·정책 예금자보호제도 예금보험금 안내 신청시 구비서류,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyPossDcmnt/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,2444,63.0,2.0,0,0,0.0,0.0,0,raw/html/예금보험금 안내/BI-001.html,raw/response_meta/예금보험금 안내/BI-001.json,parsed/markdown/예금보험금 안내/BI-001.md,parsed/json/예금보험금 안내/BI-001.json,aacd9c1285c40bd0c0632a660520256c6b6e617bd4369688ddb95a1e48b026cc,4d4d30048416fc4c032b07aaafcd4c558ba9e94f3f4489c7a3abe40e06761e2f,,,2026-07-13T16:10:14+09:00,2026-07-13T16:10:12+09:00,,,
BI-002,예금보험금 안내,제도·정책 예금자보호제도 예금보험금 안내 예금보험금 신청 절차 예금보험금 신청절차,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtAplyProc/selectScrn.do,include_full,W1_ASSET,parse_success,200.0,1330,25.0,2.0,0,0,0.0,0.0,0,raw/html/예금보험금 안내/BI-002.html,raw/response_meta/예금보험금 안내/BI-002.json,parsed/markdown/예금보험금 안내/BI-002.md,parsed/json/예금보험금 안내/BI-002.json,ea56c9273e354c74c37dccaed95404309a25d069f652d3bf64e149e0f7bd5654,34e72585a8d2570944efb5d0158f7d3ef69f4a8bd96a4156942aba660d7b1a89,,,2026-07-13T16:10:16+09:00,2026-07-13T16:10:15+09:00,,,
BI-003,예금보험금 안내,제도·정책 예금자보호제도 예금보험금 안내 예금보험금이란?,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do,https://www.kdic.or.kr/sp/dpstrprot/DpsmIbamtExpln/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,2490,24.0,2.0,0,0,0.0,0.0,0,raw/html/예금보험금 안내/BI-003.html,raw/response_meta/예금보험금 안내/BI-003.json,parsed/markdown/예금보험금 안내/BI-003.md,parsed/json/예금보험금 안내/BI-003.json,737f16b070c6d861cbe994d1190dbed8faa07c500bd608596544e5df183df482,b82b55e16b962ee6b66bfdaf85a84c596e4a81a59f0869e07bb521744bd0b71b,,,2026-07-13T16:10:19+09:00,2026-07-13T16:10:18+09:00,,,
BI-004,예금보험금 안내,제도·정책 예금자보호제도 예금보험금 안내 보험금 지급대상 금융회사,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystBamtGiveTrgtFnst.do,https://www.kdic.or.kr/sp/dpstrprot/selectProtSystBamtGiveTrgtFnst.do,include_partial,W2_DYNAMIC,dynamic_diagnostic_created,200.0,979,,,0,0,,,0,raw/html/예금보험금 안내/BI-004.html,raw/response_meta/예금보험금 안내/BI-004.json,parsed/markdown/예금보험금 안내/BI-004.md,parsed/json/예금보험금 안내/BI-004.json,,,,,2026-07-13T16:10:22+09:00,2026-07-13T16:10:20+09:00,3.0,17.0,diagnostics/dynamic/BI-004.json
UN-001,고객 미수령금 신청,제도·정책 예금자보호제도 미수령금 통합조회/신청 고객미수령금,https://www.kdic.or.kr/sp/dpstrprot/ProtSystNramtInqAplyNramtGudn/selectScrn.do,https://www.kdic.or.kr/sp/dpstrprot/ProtSystNramtInqAplyNramtGudn/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,799,17.0,2.0,0,0,0.0,0.0,0,raw/html/고객 미수령금 신청/UN-001.html,raw/response_meta/고객 미수령금 신청/UN-001.json,parsed/markdown/고객 미수령금 신청/UN-001.md,parsed/json/고객 미수령금 신청/UN-001.json,6b7f7504d4f0fd3d81ab9e8e340c8baa3f414afc4009280003e9765d64d2c28b,e59884bfccc9672690587430375bfd4e99542ab0a6d5578b589680d1105aadb8,,,2026-07-13T16:10:25+09:00,2026-07-13T16:10:23+09:00,,,
UN-002,고객 미수령금 신청,퀵메뉴,https://fins.kdic.or.kr/ua/aplygudn/DpstrTrgtTelQustGudn/selectScrn.do,https://fins.kdic.or.kr/ua/aplygudn/DpstrTrgtTelQustGudn/selectScrn.do,include_full,W1_STATIC,parse_success,200.0,676,12.0,2.0,0,1,0.0,0.0,0,raw/html/고객 미수령금 신청/UN-002.html,raw/response_meta/고객 미수령금 신청/UN-002.json,parsed/markdown/고객 미수령금 신청/UN-002.md,parsed/json/고객 미수령금 신청/UN-002.json,2ef96fc4e53fec854716c097a11aa92d6a8543545077a55f5cd5fe4c8e48dad8,e59cffcf42b0f9fe798ea2a175b09e18399dc6c1e2bb72dad7c68c142bd48380,,,2026-07-13T16:10:27+09:00,2026-07-13T16:10:26+09:00,,,
